210919aFP_MSL_CMHx3,,,,,
Points,Soak,Assured,T_2900,FP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_fp_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_fp_sp,HG2900.read_q
1,4.0,0,-10.00,-32.00,18.0
2,180.0,0,-10.00,-27.00,18.0
3,90.0,0,-10.00,-22.00,18.0
4,90.0,0,-10.00,-17.00,18.0
5,90.0,0,-10.00,-12.00,18.0
6,90.0,0,-10.00,-15.00,18.0
7,90.0,0,-10.00,-30.00,18.0
8,180.0,0,10.00,-12.00,18.0
9,90.0,0,10.00,-7.00,18.0
10,90.0,0,10.00,-2.00,18.0
11,90.0,0,10.00,3.00,18.0
12,90.0,0,10.00,8.00,18.0
13,90.0,0,10.00,-2.00,18.0
14,90.0,0,10.00,-2.00,18.0
15,180.0,0,30.00,3.00,18.0
16,90.0,0,30.00,8.00,18.0
17,90.0,0,30.00,13.00,18.0
18,90.0,0,30.00,18.00,18.0
19,90.0,0,30.00,23.00,18.0
20,90.0,0,30.00,28.00,18.0
21,90.0,0,30.00,13.00,18.0
22,90.0,0,30.00,13.00,18.0
23,180.0,0,50.00,18.00,18.0
24,90.0,0,50.00,23.00,18.0
25,90.0,0,50.00,23.00,18.0
26,90.0,0,50.00,28.00,18.0
27,90.0,0,50.00,33.00,18.0
28,90.0,0,50.00,38.00,18.0
29,90.0,0,50.00,43.00,18.0
30,90.0,0,50.00,48.00,18.0
31,90.0,0,50.00,28.00,18.0
32,180.0,0,70.00,33.00,18.0
33,90.0,0,70.00,38.00,18.0
34,90.0,0,70.00,43.00,18.0
35,90.0,0,70.00,48.00,18.0
36,90.0,0,70.00,53.00,18.0
37,90.0,0,70.00,58.00,18.0
38,90.0,0,70.00,63.00,18.0
39,90.0,0,70.00,69.00,18.0
40,90.0,0,70.00,53.00,18.0
41,90.0,0,70.00,53.00,18.0
42,180.0,0,60.00,43.00,18.0
43,90.0,0,60.00,33.00,18.0
44,90.0,0,60.00,33.00,18.0
45,180.0,0,40.00,23.00,18.0
46,90.0,0,40.00,13.00,18.0
47,90.0,0,40.00,13.00,18.0
48,180.0,0,20.0,3.00,18.0
49,90.0,0,20.0,-7.00,18.0
50,90.0,0,20.0,14.46,18.0
