210917bRH_MSL_CMHx3,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh_sp,HG2900.read_q
1,180,0,-10,11.86,18
2,90,0,-10,19.91,18
3,90,0,-10,32.74,18
4,90,0,-10,52.81,18
5,90,0,-10,83.62,18
6,90,0,-10,63.60,18
7,180,0,10,11.18,18
8,90,0,10,17.70,18
9,90,0,10,27.54,18
10,90,0,10,42.16,18
11,90,0,10,61.72,18
12,90,0,10,87.36,18
13,90,0,10,42.16,18
14,180,0,30,12.19,18
15,90,0,30,17.84,18
16,90,0,30,25.25,18
17,90,0,30,35.26,18
18,90,0,30,48.60,18
19,90,0,30,66.17,18
20,90,0,30,89.07,18
21,90,0,30,35.26,18
22,180,0,50,12.11,18
23,2,0,50,16.69,18
24,2,0,50,16.69,18
25,3,0,50,16.69,18
26,3,0,50,16.69,18
27,90,0,50,16.69,18
28,90,0,50,22.73,18
29,90,0,50,30.59,18
30,90,0,50,40.73,18
31,90,0,50,53.66,18
32,90,0,50,70.01,18
33,90,0,50,90.48,18
34,180,0,70,12.10,18
35,90,0,70,16.11,18
36,90,0,70,21.23,18
37,90,0,70,27.69,18
38,90,0,70,35.79,18
39,90,0,70,45.84,18
40,90,0,70,58.22,18
41,90,0,70,73.33,18
42,90,0,70,95.75,18
43,90,0,70,45.84,18
44,180,0,60,71.73,18
45,90,0,60,43.33,18
46,90,0,60,25.21,18
47,180,0,40,68.16,18
48,90,0,40,38.04,18
49,90,0,40,20.27,18
50,180,0,20,64.03,18
,90,0,20,32.40,18
,90,0,20,14.46,18
,90,0,20,-7.00,18
,90,0,20,14.46,18
