a220713lightstandards,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,50,40
2,180,0,17.5,50,40
3,180,0,15,50,40
4,180,0,17.5,50,40
5,180,0,20,50,40
6,180,0,22.5,50,40
7,180,0,25,50,40
8,180,0,22.5,50,40
9,180,0,20,50,40
10,180,0,17.5,50,40
11,180,0,15,50,40
12,180,0,17.5,50,40
13,180,0,20,50,40
14,180,0,22.5,50,40
15,180,0,25,50,40
16,180,0,22.5,50,40
17,180,0,20,50,40
18,180,0,17.5,50,40
19,180,0,20,50,40
20,180,0,22.5,50,40
21,180,0,25,50,40
22,180,0,22.5,50,40
23,180,0,20,50,40
24,180,0,17.5,50,40
25,180,0,15,50,40
26,180,0,17.5,50,40
27,180,0,20,50,40
28,180,0,22.5,50,40
29,180,0,25,50,40
30,180,0,22.5,50,40
31,180,0,20,50,40
32,180,0,17.5,50,40
33,180,0,15,50,40
