Points,Soak,Assured,t,rH,Q
,,,HG2500.set_saturation_temperature_setpoint,HG2500.set_rh_pctc_setpoint,HG2500.set_flow_rate_setpoint
1,120,1,20,25,15
2,50,1,20,40,15
3,50,1,20,55,15
4,50,1,20,70,15
5,50,1,20,85,15
6,90,1,20,95,15
7,50,1,20,85,15
8,50,1,20,70,15
9,50,1,20,55,15
10,50,1,20,40,15
11,90,1,20,25,15
12,120,1,30,25,15
13,50,1,30,40,15
14,50,1,30,55,15
15,50,1,30,70,15
16,50,1,30,85,15
17,90,1,30,95,15
18,50,1,30,85,15
19,50,1,30,70,15
20,50,1,30,55,15
21,50,1,30,40,15
22,90,1,30,25,15
23,120,1,40,25,15
24,50,1,40,40,15
25,50,1,40,55,15
26,50,1,40,70,15
27,50,1,40,85,15
28,90,1,40,95,15
29,50,1,40,85,15
30,50,1,40,70,15
31,50,1,40,55,15
32,50,1,40,40,15
33,90,1,40,25,15
34,300,1,30,25,15
35,50,1,30,40,15
36,50,1,30,55,15
37,50,1,30,70,15
38,50,1,30,85,15
39,90,1,30,95,15
40,50,1,30,85,15
41,50,1,30,70,15
42,50,1,30,55,15
43,50,1,30,40,15
44,90,1,30,25,15
44,300,1,20,25,15
