Points,Soak,Assured,SetT,SetRH,Flow
,,,HG2500.set_saturation_temperature_setpoint,HG2500.set_rh_pctc_setpoint,HG2500.set_flow_rate_setpoint
18,50,1,10,78,15
19,50,1,10,61,15
20,50,1,10,44,15
21,50,1,10,27,15
22,90,1,10,10,15
23,180,1,21,10,15
24,50,1,21,27,15
25,50,1,21,44,15
26,50,1,21,61,15
27,50,1,21,78,15
28,90,1,21,95,15
29,50,1,21,78,15
30,50,1,21,61,15
31,50,1,21,44,15
32,50,1,21,27,15
33,90,1,21,10,15
34,180,1,30,10,15
35,50,1,30,27,15
36,50,1,30,44,15
37,50,1,30,61,15
38,50,1,30,78,15
39,90,1,30,95,15
40,50,1,30,78,15
41,50,1,30,61,15
42,50,1,30,44,15
43,50,1,30,27,15
44,90,1,30,10,15
45,180,1,40,10,15
46,50,1,40,27,15
47,50,1,40,44,15
48,50,1,40,61,15
49,50,1,40,78,15
50,90,1,40,95,15
51,50,1,40,78,15
52,50,1,40,61,15
53,50,1,40,44,15
54,50,1,40,27,15
55,90,1,40,10,15
56,240,1,21,10,15
57,50,1,21,27,15
58,50,1,21,44,15
59,50,1,21,61,15
60,50,1,21,78,15
61,90,1,21,95,15
62,50,1,21,78,15
63,50,1,21,61,15
64,50,1,21,44,15
65,50,1,21,27,15
66,90,1,21,10,15
67,240,1,0.1,10,15
68,50,1,0.1,27,15
69,50,1,0.1,44,15
70,50,1,0.1,61,15
71,50,1,0.1,78,15
72,90,1,0.1,95,15
73,50,1,0.1,78,15
74,50,1,0.1,61,15
75,50,1,0.1,44,15
76,50,1,0.1,27,15
77,90,1,0.1,10,15
