a270123_Tempterature_fibreoptic.csv,,,,,,,,,,
Points,Soak,Assured,Julabo_HL,Q,,,,,,
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,,,,,,
1,90,0,20,10,,,,,,
2,90,0,10,10,,,,,,
3,90,0,0,10,,,,,,
4,90,0,-20,10,,,,,,
5,90,0,-40,10,,,,,,
6,90,0,-60,10,,,,,,
7,90,0,-70,10,,,,,,
8,90,0,-60,10,,,,,,
9,90,0,-40,10,,,,,,
10,90,0,-20,10,,,,,,
11,90,0,0,10,,,,,,
12,90,0,10,10,,,,,,
13,90,0,20,10,,,,,,
14,90,0,20,1,,,,,,
15,90,0,10,1,,,,,,
16,90,0,0,1,,,,,,
17,90,0,-20,1,,,,,,
18,90,0,-40,1,,,,,,
19,90,0,-60,1,,,,,,
20,90,0,-70,1,,,,,,
21,90,0,-60,1,,,,,,
22,90,0,-40,1,,,,,,
23,90,0,-20,1,,,,,,
24,90,0,0,1,,,,,,
25,90,0,10,1,,,,,,
26,90,0,20,1,,,,,,
27,90,0,20,0.1,,,,,,
28,90,0,10,0.1,,,,,,
29,90,0,0,0.1,,,,,,
30,90,0,-20,0.1,,,,,,
31,90,0,-40,0.1,,,,,,
32,90,0,-60,0.1,,,,,,
33,90,0,-70,0.1,,,,,,
34,90,0,-60,0.1,,,,,,
35,90,0,-40,0.1,,,,,,
36,90,0,-20,0.1,,,,,,
37,90,0,0,0.1,,,,,,
38,90,0,10,0.1,,,,,,
39,90,0,20,0.1,,,,,,
