a230525_MassSTDS.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,20,20,15
2,50,0,20,35,15
3,50,0,20,50,15
4,50,0,20,65,15
5,90,0,20,80,15
6,50,0,20,65,15
7,50,0,20,50,15
8,50,0,20,35,15
9,50,0,20,20,15
10,180,0,25,20,15
11,50,0,25,35,15
12,50,0,25,50,15
13,50,0,25,65,15
14,90,0,25,80,15
15,50,0,25,65,15
16,50,0,25,50,15
17,50,0,25,35,15
18,50,0,25,20,15
19,300,0,20,20,15
20,50,0,20,35,15
21,50,0,20,50,15
22,50,0,20,65,15
23,90,0,20,80,15
24,50,0,20,65,15
25,50,0,20,50,15
26,50,0,20,35,15
27,50,0,20,20,15
28,300,0,15,20,15
29,50,0,15,35,15
30,50,0,15,50,15
31,50,0,15,65,15
32,90,0,15,80,15
33,50,0,15,65,15
34,50,0,15,50,15
35,50,0,15,35,15
36,50,0,15,20,15
