a250509_Trescal_473_DP.csv,,,,,
Points,Soak,Assured,T_2500,RH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,300,1,0.1,10.17,20
2,90,1,0.1,16.59,20
3,90,1,0.1,26.56,20
4,90,1,0.1,41.76,20
5,90,1,0.1,64.55,20
6,90,1,0.1,83.19,20
7,90,1,0.1,95.02,20
8,90,1,0.1,41.76,20
9,240,1,21,10.29,20
10,90,1,21,15.9,20
11,90,1,21,24.19,20
12,90,1,21,34.53,20
13,90,1,21,48.6,20
14,90,1,21,67.5,20
15,90,1,21,81.71,20
16,90,1,21,95.19,20
17,90,1,21,48.6,20
18,240,1,41,11.05,20
19,90,1,41,15.55,20
20,90,1,41,21.6,20
21,90,1,41,29.62,20
22,90,1,41,40.14,20
23,90,1,41,53.79,20
24,90,1,41,71.31,20
25,90,1,41,93.58,20
26,90,1,41,29.62,20
27,240,1,62,11.05,20
28,90,1,62,20.07,20
29,90,1,62,34.91,20
30,90,1,62,58.43,20
31,90,1,62,74.58,20
32,90,1,62,90.11,20
33,90,1,62,94.4,20
34,90,1,62,14.98,20
37,300,1,21,48.6,20
38,90,1,21,24.19,20
39,90,1,21,10.29,20
