aH96140244_20240110_Trescal.csv,,,,,,,,,,,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900,,,,,,,,,,
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,,,,,,,,,,
1,50,0,0.1,-25.2,20,,,h,95,t,0.1,td,-0.5,,-5
2,50,0,0.1,-20,20,,,,10,,0.1,,-25.2,,
3,50,0,0.1,-15,20,,,,95,,20,,19.2,,
4,50,0,0.1,-10,20,,,,10,,20,,-11.2,,
5,50,0,0.1,-5,20,,,,95,,40,,39.04,,
6,50,0,0.1,-0.5,20,,,,10,,40,,2.6,,
7,50,0,0.1,-15,20,,,,95,,62,,60.9,,
8,50,0,20,-11.2,20,,,,10,,62,,18.9,,
9,50,0,20,-5,20,,,,,,,,,,
10,50,0,20,-0.5,20,,,,,,,,,,
11,50,0,20,5,20,,,,,,,,,,
12,50,0,20,10,20,,,,,,,,,,
13,50,0,20,15,20,,,,,,,,,,
14,50,0,20,19.2,20,,,,,,,,,,
15,50,0,20,5,20,,,,,,,,,,
16,50,0,40,2.6,20,,,,,,,,,,
17,50,0,40,5,20,,,,,,,,,,
18,50,0,40,10,20,,,,,,,,,,
19,50,0,40,15,20,,,,,,,,,,
20,50,0,40,20,20,,,,,,,,,,
21,50,0,40,25,20,,,,,,,,,,
22,50,0,40,30,20,,,,,,,,,,
23,50,0,40,35,20,,,,,,,,,,
24,50,0,40,39,20,,,,,,,,,,
25,50,0,40,25,20,,,,,,,,,,
26,50,0,62,19,20,,,,,,,,,,
27,50,0,62,25,20,,,,,,,,,,
28,50,0,62,30,20,,,,,,,,,,
29,50,0,62,35,20,,,,,,,,,,
30,50,0,62,40,20,,,,,,,,,,
31,50,0,62,45,20,,,,,,,,,,
32,50,0,62,50,20,,,,,,,,,,
33,50,0,62,55,20,,,,,,,,,,
34,50,0,62,60.9,20,,,,,,,,,,
35,50,0,62,25,20,,,,,,,,,,
36,50,0,20,-5,20,,,,,,,,,,
37,50,0,20,-0.5,20,,,,,,,,,,
38,50,0,20,5,20,,,,,,,,,,
39,50,0,20,10,20,,,,,,,,,,
40,50,0,20,15,20,,,,,,,,,,
41,50,0,20,19.2,20,,,,,,,,,,
42,50,0,20,5,20,,,,,,,,,,
