a220117_BRANZ_HMP77.csv,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
1,180,0,20,10,15
2,50,0,20,32,15
3,50,0,20,54,15
4,50,0,20,76,15
5,90,0,20,98,15
6,50,0,20,76,15
7,50,0,20,54,15
8,50,0,20,32,15
9,90,0,20,10,15
10,180,0,40,10,15
11,50,0,40,32,15
12,50,0,40,54,15
13,50,0,40,76,15
14,90,0,40,98,15
15,50,0,40,76,15
16,50,0,40,54,15
17,50,0,40,32,15
18,90,0,40,10,15
19,180,0,60,10,15
20,50,0,60,32,15
21,50,0,60,54,15
22,50,0,60,76,15
23,90,0,60,98,15
24,50,0,60,76,15
25,50,0,60,54,15
26,50,0,60,32,15
27,90,0,60,10,15
28,180,0,70,10,15
29,50,0,70,32,15
30,50,0,70,54,15
31,50,0,70,76,15
32,90,0,70,98,15
33,50,0,70,76,15
34,50,0,70,54,15
35,50,0,70,32,15
36,90,0,70,10,15
37,300,0,50,10,15
38,50,0,50,32,15
39,50,0,50,54,15
40,50,0,50,76,15
41,90,0,50,98,15
42,50,0,50,76,15
43,50,0,50,54,15
44,50,0,50,32,15
45,90,0,50,10,15
46,300,0,30,10,15
47,50,0,30,32,15
48,50,0,30,54,15
49,50,0,30,76,15
50,90,0,30,98,15
51,50,0,30,76,15
52,50,0,30,54,15
53,50,0,30,32,15
54,90,0,30,10,15
55,300,0,10,10,15
56,50,0,10,32,15
57,50,0,10,54,15
58,50,0,10,76,15
59,90,0,10,98,15
60,50,0,10,76,15
61,50,0,10,54,15
62,50,0,10,32,15
63,90,0,10,10,15
55,300,0,0.5,10,15
56,50,0,0.5,32,15
57,50,0,0.5,54,15
58,50,0,0.5,76,15
59,90,0,0.5,98,15
60,50,0,0.5,76,15
61,50,0,0.5,54,15
62,50,0,0.5,32,15
63,90,0,0.5,10,15
64,220,0,-10,10,15
65,50,0,-10,32,15
66,50,0,-10,54,15
67,50,0,-10,76,15
68,50,0,-10,98,15
69,300,0,10,30,15
70,50,0,-10,30,15
71,150,0,-10,76,15
72,50,0,-10,54,15
73,50,0,-10,32,15
74,50,0,-10,10,15
75,300,0,10,30,15
76,300,0,0.5,10,15
77,50,0,0.5,32,15
78,50,0,0.5,54,15
79,50,0,0.5,76,15
80,90,0,0.5,98,15
81,50,0,0.5,76,15
82,50,0,0.5,54,15
83,50,0,0.5,32,15
84,90,0,0.5,10,15
